2026-04-07 11:30:04.711 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=496ms | DESC=User login attempt | ERROR=-
2026-04-07 11:33:29.483 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=524ms | DESC=Download salary slip PDF | ERROR=Failed to generate payslip PDF: An error happened during template parsing (template: "class path resource [templates/payslip.html]")
2026-04-07 11:33:41.897 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=23ms | DESC=Download salary slip PDF | ERROR=Failed to generate payslip PDF: An error happened during template parsing (template: "class path resource [templates/payslip.html]")
2026-04-07 11:44:09.209 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=1111ms | DESC=Download salary slip PDF | ERROR=Failed to generate payslip PDF: Can't load the XML resource (using TRaX transformer). org.xml.sax.SAXParseException; lineNumber: 7; columnNumber: 19; The entity name must immediately follow the '&' in the entity reference.
2026-04-07 11:44:23.210 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=32ms | DESC=Download salary slip PDF | ERROR=Failed to generate payslip PDF: Can't load the XML resource (using TRaX transformer). org.xml.sax.SAXParseException; lineNumber: 7; columnNumber: 19; The entity name must immediately follow the '&' in the entity reference.
2026-04-07 11:58:03.450 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=1227ms | DESC=Download salary slip PDF | ERROR=Failed to generate payslip PDF: Can't load the XML resource (using TRaX transformer). org.xml.sax.SAXParseException; lineNumber: 7; columnNumber: 19; The entity name must immediately follow the '&' in the entity reference.
2026-04-07 11:58:48.990 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=72ms | DESC=Download salary slip PDF | ERROR=Failed to generate payslip PDF: Can't load the XML resource (using TRaX transformer). org.xml.sax.SAXParseException; lineNumber: 7; columnNumber: 19; The entity name must immediately follow the '&' in the entity reference.
2026-04-07 12:02:28.340 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1252ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:17:38.329 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1314ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:18:32.809 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=259ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:19:26.079 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1152ms | DESC=Download salary slip PDF | ERROR=-
